QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5
201801085444.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.28681393797046795
201801085477.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.3904571732970239
201801085478.0,None at all,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.28681393797046795
201801085554.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.3680609800135317
201801085559.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.9281622945839936
201801085678.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.3566962885931554
201801085683.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,Some College,0.5315478311932043
201801085687.0,Not much,Not sure,Dem/Lean Dem,Liberal,30-49,College graduate+,0.4473873381643575
201801085726.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.49840964031823126
201801085731.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,2.0948655953414
201801085832.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Refused,65+,College graduate+,0.5414927161496371
201801085837.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Conservative,50-64,H.S. graduate or less,2.0948655953414
201801085850.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,H.S. graduate or less,4.229583481827317
201801085914.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.8292267917270667
201801085928.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.6567529151301014
201801085969.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Liberal,30-49,H.S. graduate or less,1.2051646930875668
201801086018.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,1.7365392743060761
201801086110.0,None at all,Came about naturally,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.6677306377059066
201801086112.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,30-49,Some College,3.7346937794699673
201801086133.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.35631151696197294
201801086138.0,Some,Was made accidentally in a lab,Dem/Lean Dem,Refused,18-29,Some College,1.9749539273220902
201801086141.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.7280594116332648
201801086151.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,Some College,0.9779979339620597
201801086169.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.8393180069283974
201801086209.0,Some,Not sure,Rep/Lean Rep,Moderate,65+,Some College,0.49575414368839404
201801086213.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.35631151696197294
201801086234.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.5895379020250633
201801086256.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.6116394543741769
201801086316.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,Some College,1.4046846332993161
201801086329.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Moderate,18-29,H.S. graduate or less,7.061247370897335
201801086385.0,Not much,Not sure,Rep/Lean Rep,Moderate,30-49,College graduate+,1.0846681900746984
201801086388.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.8994276113977334
201801086389.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,0.8576465308997767
201801086391.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Liberal,65+,College graduate+,0.8292267917270667
201801086397.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.2911490457684703
201801086499.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.3526781776109724
201801086518.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,18-29,College graduate+,0.5459425965914381
201801086555.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,3.098860592531083
201801086568.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.3512111722909017
201801086665.0,Not much,Not sure,Dem/Lean Dem,Moderate,65+,Some College,2.9637896694508865
201801086686.0,Some,Doesn’t really exist,Dem/Lean Dem,Liberal,30-49,Some College,1.3292711805677415
201801086766.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,65+,Some College,0.4207792446971104
201801086774.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,1.1338177594841978
201801086812.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.28681393797046795
201801086824.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,Some College,2.2377745975209224
201801086883.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,50-64,Some College,0.4640268133422485
201801086922.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.28681393797046795
201801086937.0,Some,Not sure,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,4.028568259111063
201801087089.0,Not much,Came about naturally,DK/Refused/No lean,Conservative,65+,College graduate+,0.28681393797046795
201801087103.0,Not much,Came about naturally,Dem/Lean Dem,Conservative,18-29,College graduate+,1.7461150836744435
201801087112.0,None at all,Not sure,Dem/Lean Dem,Refused,50-64,H.S. graduate or less,3.1015292043212574
201801087113.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.5843603612357219
201801087117.0,Not much,Not sure,Rep/Lean Rep,Moderate,65+,Some College,1.5919655775568944
201801087181.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,30-49,Some College,0.7861309119369801
201801087244.0,A lot,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.7522274859589355
201801087253.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.297668319431043
201801087258.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.9281622945839936
201801087268.0,Some,Not sure,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.9963545478303728
201801087310.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,1.2332079407391399
201801087334.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.45518808978161196
201801087415.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.28681393797046795
201801087452.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,Some College,0.7223449849830279
201801087456.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,30-49,Some College,2.9331624912156653
201801087478.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.40425405977070034
201801087498.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.34404288291430585
201801087528.0,Some,Was made accidentally in a lab,Dem/Lean Dem,Liberal,30-49,College graduate+,0.39618280167923603
201801087677.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,3.6890859927900777
201801087698.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,2.620558683249326
201801087733.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.8981305082519752
201801087734.0,None at all,Not sure,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,1.1587133938555438
201801087743.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.6933105294642256
201801087746.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3271834868358548
201801087949.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.1787791609470277
201801088015.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,1.6879669519631801
201801088018.0,A lot,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,1.0565457964925558
201801088031.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.49575414368839404
201801088040.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.8287624205320122
201801088055.0,Some,Not sure,Rep/Lean Rep,Moderate,30-49,College graduate+,1.3319522555940575
201801088076.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,18-29,H.S. graduate or less,0.6964672468797082
201801088145.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.5824593735021553
201801088161.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,1.5583715512006335
201801088242.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.475306874760771
201801088259.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3861845373601605
201801088308.0,Some,Not sure,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.40425405977070034
201801088312.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,College graduate+,0.3604661726981481
201801088313.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.6504421327801689
201801088334.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,Some College,0.6974213634031035
201801088353.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.6504421327801689
201801088377.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6281830345909123
201801088381.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,3.098860592531083
201801088407.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,2.1046987420154695
201801088412.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.322261998860181
201801088441.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3861845373601605
201801088480.0,Not much,Not sure,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6832289693915174
201801088483.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,30-49,College graduate+,1.7086118556211731
201801088536.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,1.1990814456641152
201801088555.0,None at all,Came about naturally,Dem/Lean Dem,Refused,65+,H.S. graduate or less,2.065381622560378
201801088582.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,Some College,1.5919655775568944
201801088584.0,Some,Not sure,Dem/Lean Dem,Liberal,65+,H.S. graduate or less,0.8474203542828977
201801088623.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,2.570494307108691
201801088644.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.40425405977070034
201801088675.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,1.1212153128452926
201801088729.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.322261998860181
201801088752.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very liberal,30-49,Some College,2.6138711728797106
201801088861.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6259331873910983
201801088897.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.3680609800135317
201801088968.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.47289741162903826
201801088987.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,30-49,College graduate+,0.5628115061981547
201801089028.0,None at all,Not sure,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.8152329070778515
201801089069.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.3756641630163644
201801089109.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.35433678602470764
201801089125.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,Some College,1.8191108840825092
201801089129.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.39618280167923603
201801089177.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,2.296998478413675
201801089245.0,None at all,Came about naturally,Rep/Lean Rep,Liberal,65+,College graduate+,0.322261998860181
201801089287.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.35631151696197294
201801089291.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.2911490457684703
201801089317.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.4531027960611419
201801089332.0,Not much,Not sure,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.40425405977070034
201801089336.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.8292267917270667
201801089400.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,5.401282009616393
201801089418.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,1.3292711805677415
201801089467.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,50-64,Some College,0.547322345103347
201801089527.0,Some,Came about naturally,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,4.204654057322078
201801089539.0,None at all,Not sure,Dem/Lean Dem,Liberal,30-49,College graduate+,0.3566962885931554
201801089614.0,A lot,Not sure,Rep/Lean Rep,Moderate,30-49,Some College,2.122943707465507
201801089620.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,0.8576465308997767
201801089668.0,Some,Not sure,DK/Refused/No lean,Refused,18-29,H.S. graduate or less,4.302007663579142
201801089703.0,Some,Not sure,Rep/Lean Rep,Moderate,65+,College graduate+,1.3459779805211984
201801089737.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.27528040554863553
201801089792.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,3.454567688929445
201801089861.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Refused,50-64,Some College,0.49413653769269544
201801089882.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.6093099714833934
201801089896.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,18-29,H.S. graduate or less,5.056281097806327
201801089901.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,0.8576465308997767
201801089914.0,Some,Not sure,Rep/Lean Rep,Conservative,18-29,Some College,3.242614983587707
201801089999.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.5626525845257144
201801090006.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,1.3459779805211984
201801090017.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,1.8191108840825092
201801090052.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.7280594116332648
201801090083.0,Not much,Not sure,Dem/Lean Dem,Liberal,65+,H.S. graduate or less,6.065508572934568
201801090088.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.21076401771962838
201801090128.0,None at all,Not sure,Rep/Lean Rep,Conservative,30-49,College graduate+,0.5697442350927874
201801090158.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,30-49,H.S. graduate or less,2.683656802141176
201801090175.0,Some,Was developed intentionally in a lab,DK/Refused/No lean,Moderate,30-49,Some College,0.8337974768967847
201801090232.0,None at all,Refused,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6832289693915174
201801090369.0,Some,Came about naturally,DK/Refused/No lean,Moderate,65+,College graduate+,0.28681393797046795
201801090389.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.46454444474580187
201801090430.0,Not much,Not sure,Dem/Lean Dem,Liberal,65+,College graduate+,0.8292267917270667
201801090447.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.21076401771962838
201801090455.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2601583936831742
201801090459.0,None at all,Not sure,Rep/Lean Rep,Conservative,65+,Some College,1.5919655775568944
201801090464.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,1.3756634201385982
201801090470.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.5037805583145222
201801090487.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,1.1212153128452926
201801090526.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.21372520590383698
201801090649.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.49575414368839404
201801090653.0,None at all,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,Some College,0.30186749854373124
201801090658.0,Some,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,1.856218713967939
201801090728.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,0.7016002549644776
201801090739.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.2794078015644768
201801090744.0,None at all,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.2999978318603293
201801090819.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,65+,Some College,1.8242452437055823
201801090951.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,Some College,2.3104039785125274
201801090957.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.30186749854373124
201801090969.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.5626525845257144
201801090974.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,3.393854488483933
201801091043.0,A lot,Was made accidentally in a lab,Dem/Lean Dem,Moderate,50-64,Some College,1.680449542366591
201801091075.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.46454444474580187
201801091088.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5895379020250633
201801091114.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,1.204549813731293
201801091158.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.5848902857750223
201801091180.0,Some,Not sure,Dem/Lean Dem,Liberal,65+,H.S. graduate or less,2.033478687859746
201801091183.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.5158848355642376
201801091219.0,Not much,Was made accidentally in a lab,Dem/Lean Dem,Liberal,30-49,Some College,0.44648451659989813
201801091236.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.7619016702989779
201801091280.0,None at all,Not sure,Rep/Lean Rep,Moderate,30-49,College graduate+,0.5560577221339493
201801091301.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.731697566812459
201801091303.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.319101043048415
201801091326.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Liberal,65+,H.S. graduate or less,3.454567688929445
201801091411.0,Not much,Not sure,Dem/Lean Dem,Conservative,50-64,Some College,0.7291765674822388
201801091455.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.5037805583145222
201801091508.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,30-49,College graduate+,3.3358358599525917
201801091598.0,Some,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.3590266223903537
201801091606.0,Not much,Not sure,Dem/Lean Dem,Moderate,30-49,College graduate+,0.39618280167923603
201801091611.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.40425405977070034
201801091662.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.3156760096714173
201801091672.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.5756836274746054
201801091688.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.3604661726981481
201801091715.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.4094636195140061
201801091796.0,None at all,Not sure,Rep/Lean Rep,Conservative,65+,Some College,1.1787791609470277
201801091799.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,30-49,Some College,0.7467833017610841
201801091859.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.3566962885931554
201801091896.0,None at all,Not sure,Dem/Lean Dem,Liberal,30-49,College graduate+,0.8287624205320122
201801091910.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.35631151696197294
201801091936.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,18-29,Some College,1.755857929670225
201801092022.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Moderate,18-29,H.S. graduate or less,7.487621221765812
201801092104.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.31597104873337184
201801092149.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,Some College,2.0625358364994715
201801092225.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,0.5046752744340405
201801092298.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.6305265988690915
201801092342.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.47688348787371654
201801092344.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2911490457684703
201801092502.0,A lot,Came about naturally,DK/Refused/No lean,Moderate,50-64,H.S. graduate or less,2.0948655953414
201801092510.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,30-49,H.S. graduate or less,1.9015233835569354
201801092650.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,1.1212153128452926
201801092658.0,Some,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.527770579490073
201801092688.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.6677306377059066
201801092710.0,Not much,Not sure,Dem/Lean Dem,Moderate,30-49,H.S. graduate or less,2.3658896200352877
201801092735.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.3627763737137497
201801092755.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3271834868358548
201801093067.0,None at all,Not sure,Dem/Lean Dem,Moderate,30-49,Some College,1.2008383858447433
201801093083.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.5501445714967962
201801093090.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.16877671577660544
201801093148.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,18-29,College graduate+,0.5770305486536121
201801093182.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,18-29,College graduate+,0.5396260725904269
201801093183.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4153908519265988
201801093197.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,18-29,College graduate+,0.428374542510978
201801093257.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.3396990366655271
201801093263.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.45703708997047293
201801093293.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,18-29,College graduate+,0.2751798570797386
201801093319.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
201801093355.0,Not much,Not sure,Dem/Lean Dem,Moderate,30-49,Some College,1.5028944959809403
201801093361.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,18-29,College graduate+,1.7454521085682082
201801093397.0,A lot,Not sure,Dem/Lean Dem,Liberal,30-49,College graduate+,0.6055179104706293
201801093401.0,Some,Not sure,Rep/Lean Rep,Conservative,18-29,College graduate+,0.5396260725904269
201801093431.0,Not much,Was made accidentally in a lab,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2600408214827492
201801093434.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2310810495763379
201801093484.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,30-49,College graduate+,1.046334170243871
201801093552.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.1365794785927765
201801093576.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,18-29,Some College,4.258459267609126
201801093593.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3102954082448866
201801093598.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27472252543231557
201801093601.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2228900847276511
201801093622.0,Not much,Not sure,Dem/Lean Dem,Liberal,50-64,College graduate+,0.36032953440962434
201801093634.0,Some,Not sure,Rep/Lean Rep,Very conservative,65+,Some College,1.1910849790118874
201801093641.0,Some,Not sure,Rep/Lean Rep,Moderate,18-29,College graduate+,1.7990405657503719
201801093712.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.7908922412908626
201801093715.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.22594596413367077
201801093717.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.30446087487465623
201801093721.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2331326614312156
201801093783.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,1.1193832867199365
201801093790.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.38061041999135203
201801093849.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.8904173234304539
201801093874.0,Some,Not sure,Dem/Lean Dem,Liberal,65+,College graduate+,0.62526829337726
201801093878.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5332771675780409
201801093909.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,18-29,College graduate+,1.5298977711549253
201801093934.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,18-29,College graduate+,0.2751798570797386
201801093936.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.380234298379985
201801093973.0,Some,Not sure,Rep/Lean Rep,Moderate,30-49,College graduate+,0.38018748676162484
201801094011.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.44732242553576856
201801094035.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.47812055176334556
201801094075.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,18-29,Some College,1.0827942815847853
201801094076.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.62526829337726
201801094086.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.35631151696197294
201801094094.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.16658774135557186
201801094114.0,None at all,Not sure,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.314211276057715
201801094116.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,0.6022545565321562
201801094164.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3102954082448866
201801094238.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.20313757190989004
201801094244.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.30446087487465623
